EventID,IpAddress,IpPort,Log_source,LogonProcessName,LogonType,ProcessId,ProcessName,RestrictedAdminMode,TargetDomainName,TargetLogonID,TargetUserName,TimeCreated
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.636600 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.568846 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.467410 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.445198 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.444411 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.430650 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:19:35.417184 UTC
4624,-,-,NEF-DSK-1,Advapi  ,2,956,C:\Windows\System32\winlogon.exe,-,Window Manager,0x128d6,DWM-1,2021-03-10 04:19:35.339031 UTC
4624,-,-,NEF-DSK-1,Advapi  ,2,956,C:\Windows\System32\winlogon.exe,-,Window Manager,0x128c0,DWM-1,2021-03-10 04:19:35.339001 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:30:13.090138 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:29:49.748068 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:29:49.607174 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:29:43.034018 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:29:37.715373 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:29:37.670619 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:29:36.817363 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:24:02.134206 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:23:12.360590 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:58.323526 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:46.524535 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:46.496944 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:35.777811 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:35.732826 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:35.667787 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:05.684104 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:22:01.373455 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:21:40.686163 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:21:38.701409 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:00:03.600988 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 05:00:02.290222 UTC
4624,-,-,NEF-DSK-1,Advapi  ,5,1000,C:\Windows\System32\services.exe,-,NT AUTHORITY,0x3e7,СИСТЕМА,2021-03-10 04:58:52.358493 UTC
